1.591710	-0.456132	176.567764 
1.577011	-0.468238	176.548813 
1.562707	-0.481683	176.515610 
1.556449	-0.478893	176.507248 
1.567241	-0.457878	176.497269 
1.562336	-0.459907	176.501083 
1.547717	-0.458912	176.504852 
1.540963	-0.442110	176.499283 
1.549402	-0.431383	176.499161 
1.539593	-0.439651	176.483932 
1.523990	-0.448981	176.464676 
1.503945	-0.446029	176.428986 
1.490971	-0.446571	176.447098 
1.497279	-0.463401	176.433868 
1.483502	-0.453670	176.438965 
1.482661	-0.461505	176.443893 
1.468677	-0.459157	176.443710 
1.451204	-0.465963	176.444626 
1.443993	-0.473276	176.432251 
1.424518	-0.472688	176.453217 
1.412588	-0.478479	176.460541 
1.412810	-0.478636	176.468231 
1.428838	-0.477320	176.466003 
1.431399	-0.457340	176.474823 
1.422482	-0.455579	176.461609 
1.462513	-0.511254	176.414124 
1.462464	-0.523210	176.401962 
1.460594	-0.502008	176.402420 
1.474216	-0.503421	176.398438 
1.457580	-0.488206	176.399063 
1.466869	-0.499695	176.387955 
1.466771	-0.486569	176.385101 
1.470546	-0.488630	176.397675 
1.479995	-0.481043	176.383835 
1.466917	-0.474787	176.374969 
1.466406	-0.484508	176.361588 
1.474847	-0.476077	176.357941 
1.459929	-0.469004	176.368896 
1.454566	-0.465178	176.370956 
1.448704	-0.448350	176.381607 
1.443575	-0.438488	176.380203 
1.457702	-0.433178	176.385910 
1.455193	-0.444403	176.395782 
1.446480	-0.440929	176.392807 
1.437468	-0.438683	176.391678 
1.443109	-0.438269	176.407166 
1.431127	-0.437003	176.408279 
1.427307	-0.450602	176.416321 
1.439020	-0.447739	176.397781 
1.436199	-0.453846	176.382812 
1.416879	-0.466865	176.393723 
1.417910	-0.442929	176.395645 
1.412861	-0.430878	176.408783 
1.417767	-0.425275	176.426498 
1.412302	-0.430033	176.426880 
1.408361	-0.424830	176.440292 
1.416092	-0.418542	176.432114 
1.421416	-0.404841	176.439651 
1.418926	-0.405039	176.437820 
1.411642	-0.389689	176.447266 
1.407048	-0.386708	176.436157 
1.397593	-0.382585	176.452591 
1.399336	-0.371733	176.457779 
1.394552	-0.371406	176.465698 
1.402520	-0.379097	176.466660 
1.401328	-0.378965	176.470352 
1.399947	-0.390888	176.470673 
1.395616	-0.373702	176.468079 
1.397643	-0.394362	176.473877 
1.380964	-0.387071	176.484756 
1.374608	-0.386761	176.495743 
1.377093	-0.361812	176.484711 
1.375256	-0.378585	176.493973 
1.378546	-0.384704	176.504852 
