timestamp,x,y,z
3629799178240,207.0625,207.0625,11.6250
3629880180736,209.1250,209.1250,7.6250
3629980057600,210.6250,210.6250,4.6250
3630080196608,211.7500,211.7500,3.1250
3630199209984,212.1250,212.1250,3.1875
3630279163904,212.3750,212.3750,2.8125
3630400274432,212.8125,212.8125,2.6875
3630460043264,213.0625,213.0625,2.5625
3630560182272,213.4375,213.4375,2.5000
3630659272704,213.4375,213.4375,2.3750
3630759149568,213.3125,213.3125,2.1250
3630879997952,213.1875,213.1875,1.8125
3630959951872,213.4375,213.4375,1.4375
3631080013824,213.2500,213.2500,1.3125
3631159181312,213.3750,213.3750,1.3125
3631259058176,213.3125,213.3125,1.1875
3631359983616,213.2500,213.2500,1.1875
3631459860480,213.0625,213.0625,1.1875
3631559999488,212.9375,212.9375,1.0625
3631639166976,213.0000,213.0000,1.0625
3631739043840,212.8750,212.8750,1.0000
3631839969280,213.0000,213.0000,1.0000
3631939846144,212.6875,212.6875,1.0000
3632039723008,212.6875,212.6875,1.0000
3632100016128,212.6875,212.6875,1.1250
3632179183616,212.5625,212.5625,1.2500
3632279060480,211.9375,211.9375,1.3750
3632380248064,211.0625,211.0625,1.7500
3632479862784,210.1875,210.1875,1.8750
3632580001792,209.2500,209.2500,1.8750
3632679092224,207.2500,207.2500,2.1875
3632799154176,204.6875,204.6875,2.3750
3632880156672,202.5625,202.5625,2.1875
3632980033536,200.4375,200.4375,2.1875
3633080172544,198.5000,198.5000,2.5000
3633179262976,196.8125,196.8125,2.5000
3633279139840,195.2500,195.2500,2.7500
3633380065280,195.8750,195.8750,2.3125
3633479942144,199.0000,199.0000,1.7500
3633560158208,202.8750,202.8750,1.6250
3633679171584,207.0625,207.0625,0.5000
3633759125504,210.2500,210.2500,0.1875
3633860050944,213.1875,213.1875,0.5000
3633940004864,215.5625,215.5625,0.8125
3634039881728,217.9375,217.9375,1.6250
3634100174848,220.5625,220.5625,1.6250
3634179080192,222.2500,222.2500,2.6250
3634278957056,223.2500,223.2500,3.1250
3634380144640,222.0000,222.0000,3.0000
3634480021504,218.9375,218.9375,2.5000
3634580160512,214.6875,214.6875,2.7500
3634679250944,210.7500,210.7500,2.5000
3634779127808,207.4375,207.4375,2.6250
3634880053248,203.5625,203.5625,2.9375
3634979930112,200.3750,200.3750,3.2500
3635080069120,197.9375,197.9375,3.6875
3635179159552,195.5000,195.5000,3.8750
3635279036416,194.0000,194.0000,3.8750
3635360038912,194.6250,194.6250,3.5625
3635480100864,197.6875,197.6875,3.0000
3635579977728,202.7500,202.7500,3.0000
3635659145216,206.5000,206.5000,2.3125
3635759022080,209.8125,209.8125,2.3750
3635860209664,212.6250,212.6250,2.0000
3635960086528,215.7500,215.7500,2.0625
3636059963392,218.5000,218.5000,2.5625
3636159053824,220.5000,220.5000,2.5000
3636279115776,221.6875,221.6875,2.5625
3636380041216,221.4375,221.4375,2.5625
3636440072192,218.8750,218.8750,2.8750
3636539949056,215.2500,215.2500,2.6250
3636639825920,210.4375,210.4375,1.9375
3636679147520,205.8125,205.8125,2.0000
3636798947328,201.8125,201.8125,2.1250
3636900134912,197.6875,197.6875,2.5625
3636980088832,194.1250,194.1250,2.1250
3637079965696,191.8750,191.8750,2.2500
3637179318272,190.7500,190.7500,2.3750
3637278932992,192.0000,192.0000,1.9375
3637380120576,195.6250,195.6250,2.0000
3637479997440,200.3750,200.3750,2.6875
3637580136448,205.5000,205.5000,3.6250
3637679226880,209.7500,209.7500,4.4375
3637779103744,213.5000,213.5000,4.5000
3637880029184,217.0625,217.0625,4.0625
3637979906048,219.8750,219.8750,4.1250
3638080045056,221.6250,221.6250,3.9375
3638159212544,220.5625,220.5625,4.0000
3638279012352,217.1250,217.1250,3.6875
3638380199936,212.6250,212.6250,3.3750
3638459891712,208.1875,208.1875,3.3125
3638560030720,203.0000,203.0000,3.8750
3638659121152,198.5000,198.5000,3.8750
3638758998016,194.8125,194.8125,3.6250
3638860185600,192.3750,192.3750,4.2500
3638960062464,193.1250,193.1250,4.0625
3639059939328,196.5625,196.5625,4.3750
3639159291904,200.6250,200.6250,6.0625
3639258906624,205.9375,205.9375,7.1250
3639360094208,210.3750,210.3750,7.3750
3639459971072,214.0000,214.0000,6.9375
3639560110080,217.0000,217.0000,6.3125
3639639277568,218.1875,218.1875,5.6250
3639738892288,216.6250,216.6250,6.3750
3639840079872,213.8750,213.8750,7.8750
3639939956736,211.3750,211.3750,7.8125
3639999987712,206.9375,206.9375,6.1875
3640100126720,202.1250,202.1250,6.1250
3640179294208,198.4375,198.4375,5.6250
3640279171072,194.1875,194.1875,5.7500
3640380096512,191.5625,191.5625,5.2500
3640520081408,191.1250,191.1250,5.4375
3640600035328,193.1875,193.1875,6.0625
3640679202816,197.3750,197.3750,8.3750
3640779079680,202.3125,202.3125,8.1875
3640880005120,206.6875,206.6875,8.0625
3640959959040,210.3125,210.3125,8.8750
3641060098048,213.8750,213.8750,9.6250
3641159188480,214.9375,214.9375,9.7500
3641278988288,213.1875,213.1875,9.5000
3641359990784,210.4375,210.4375,10.1250
3641480052736,204.3125,204.3125,12.2500
3641580191744,198.3125,198.3125,12.1875
3641758973952,190.5000,190.5000,9.9375
3641779159040,189.3125,189.3125,10.2500
3641860161536,186.3750,186.3750,10.8125
3641960038400,186.5625,186.5625,11.3125
3642060177408,189.5625,189.5625,11.2500
3642159267840,194.1875,194.1875,10.3125
3642259144704,199.6250,199.6250,9.5000
3642360070144,206.4375,206.4375,8.6250
3642459947008,212.3125,212.3125,9.6250
3642560086016,216.1250,216.1250,11.8125
3642639253504,215.6250,215.6250,10.8125
3642759053312,210.1250,210.1250,10.3750
3642840055808,204.0000,204.0000,10.0625
3642939932672,196.3750,196.3750,9.1250
