timestamp,hour,minute,seconds,milliseconds
86393796875000,23:59:53:796
86393906250000,23:59:53:906
86394000000000,23:59:54:0
86394093750000,23:59:54:93
86394203125000,23:59:54:203
86394296875000,23:59:54:296
86394406250000,23:59:54:406
86394500000000,23:59:54:500
86394593750000,23:59:54:593
86394703125000,23:59:54:703
86394796875000,23:59:54:796
86394906250000,23:59:54:906
86395000000000,23:59:55:0
86395093750000,23:59:55:93
86395203125000,23:59:55:203
86395296875000,23:59:55:296
86395406250000,23:59:55:406
86395500000000,23:59:55:500
86395593750000,23:59:55:593
86395703125000,23:59:55:703
86395796875000,23:59:55:796
86395906250000,23:59:55:906
86396000000000,23:59:56:0
86396093750000,23:59:56:93
86396203125000,23:59:56:203
86396296875000,23:59:56:296
86396406250000,23:59:56:406
86396500000000,23:59:56:500
86396593750000,23:59:56:593
86396703125000,23:59:56:703
86396796875000,23:59:56:796
86396906250000,23:59:56:906
86397000000000,23:59:57:0
86397093750000,23:59:57:93
86397203125000,23:59:57:203
86397296875000,23:59:57:296
86397406250000,23:59:57:406
86397500000000,23:59:57:500
86397593750000,23:59:57:593
86397703125000,23:59:57:703
86397796875000,23:59:57:796
86397906250000,23:59:57:906
86398000000000,23:59:58:0
86398093750000,23:59:58:93
86398203125000,23:59:58:203
86398296875000,23:59:58:296
86398406250000,23:59:58:406
86398500000000,23:59:58:500
86398593750000,23:59:58:593
86398703125000,23:59:58:703
86398796875000,23:59:58:796
86398906250000,23:59:58:906
86399000000000,23:59:59:0
86399093750000,23:59:59:93
86399203125000,23:59:59:203
86399296875000,23:59:59:296
86399406250000,23:59:59:406
86399500000000,23:59:59:500
86399593750000,23:59:59:593
86399703125000,23:59:59:703
86399796875000,23:59:59:796
86399906250000,23:59:59:906
0,0:0:0:0
100000001,0:0:0:100
199000000,0:0:0:199
300000011,0:0:0:300
398999989,0:0:0:398
500000000,0:0:0:500
600000023,0:0:0:600
699000000,0:0:0:699
800000011,0:0:0:800
898999989,0:0:0:898
1000000000,0:0:1:0
1100000023,0:0:1:100
1199000000,0:0:1:199
1299999952,0:0:1:299
1399000048,0:0:1:399
1500000000,0:0:1:500
1600000023,0:0:1:600
1699000000,0:0:1:699
1799999952,0:0:1:799
1899000048,0:0:1:899
2000000000,0:0:2:0
2099999904,0:0:2:99
2198999881,0:0:2:198
2299999952,0:0:2:299
2398999929,0:0:2:398
2500000000,0:0:2:500
2599999904,0:0:2:599
2698999881,0:0:2:698
2799999952,0:0:2:799
2898999929,0:0:2:898
3000000000,0:0:3:0
3099999904,0:0:3:99
3198999881,0:0:3:198
3299999952,0:0:3:299
3398999929,0:0:3:398
3500000000,0:0:3:500
3599999904,0:0:3:599
3698999881,0:0:3:698
3799999952,0:0:3:799
3898999929,0:0:3:898
4000000000,0:0:4:0
4099999904,0:0:4:99
4198999881,0:0:4:198
4300000190,0:0:4:300
4399000167,0:0:4:399
4500000000,0:0:4:500
